item_code,item_name,description,product_group,manufacturing_site,net_mass_kg,allow_sales_order,legacy_code,double_stack,pallet_size,mrp_type,length_mm,width_mm,height_mm,board_gsm,board_width_mm,board_length_mm,bundle_quantity,bundles_per_layer,layers_per_pallet,pallet_height_mm,product_state,number_of_colours,fsc,pallet_quantity,board_code,market_segment,bom_available
BOX001/101/LPB/1000G/1240P,UPBASE - LEAKPROOF - 574mm x 376mm x 149mm 1000GSM 1240/Plt,UNPRINTED BASE - LEAKPROOF - 574mm x 376mm x 149mm 1000GSM 1240 Per Pallet BK/TKL.WPE,Leakproof Base,101,0.597,1,BOX001/574X376X149/1010/LPKRAF,N,1000x1200,MTS,578.0,380.0,150.0,1000.0,1358.0,878.0,31.0,10.0,4.0,,FG Box,0.0,Mix 70%,1240.0,4-15614 /,Meat & Poultry,1
BOX001/101/LPB/1250G/1000P,UNPRINTED BASE - LEAKPROOF - 574mm X 376mm X 149mm 1000 Per,UNPRINTED BASE - LEAKPROOF - 574mm X 376mm X 149mm 1000 Per Pallet 1250GSM,Leakproof Base,101,0.7347,1,BOX001/574X376X149/1250/LPBASE,N,1000x1200,MTS,574.0,376.0,149.0,1250.0,1360.0,876.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15357 /,Meat & Poultry,1
BOX001/101/NPB/1000G/1000P,**REPLACED WITH BOX001/101/NPB/1050G/1000P**,**REPLACED WITH BOX001/101/NPB/1050G/1000P**,Glud Base 4PT No Pol,101,0.5957,1,BOX001/NOPOLYEUROBASE/1000GSM,N,1000x1200,BASE,576.0,380.0,150.0,1000.0,0.0,0.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,,Meat & Poultry,0
BOX001/101/NPB/1050G/1000P,UNPRINTED BASE - NO POLY (NO HOLES) EURO 576mm x 380mm x 150,UNPRINTED BASE - NO POLY (NO HOLES) EURO 576mm x 380mm x 150mm 1050GSM 1000 Per Pallet,Glud Base 4PT No Pol,101,0.5957,1,BOX001/NOPOLYEUROBASE/1000GSM,N,1000x1200,MTS,576.0,380.0,150.0,1000.0,1360.0,876.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15264 /,Meat & Poultry,1
BOX001/101/NPB/1200G/1000P,UNPRINTED BASE - NO POLY EURO 576mm x 380mm x 150mm 1200GSM,UNPRINTED BASE - NO POLY EURO 576mm x 380mm x 150mm 1200GSM 1000 Per Pallet BK/BK,Glud Base 4PT No Pol,101,0.7148,1,BOX001/NOPOLYEUROBASE/1200GSM,N,1000x1200,BASE,576.0,380.0,150.0,1200.0,0.0,0.0,20.0,10.0,5.0,,FG Box,0.0,Mix 70%,1000.0,Inactive /,Meat & Poultry,0
BOX001/101/NPBH/1000G/1000P,UNPRINTED BASE - NO POLY (HOLES) 576mm x 380mm x 150mm 1000G,UNPRINTED BASE - NO POLY (HOLES) 576mm x 380mm x 150mm 1000GSM 1000 Per Pallet,Glud Base 4PT No Pol,101,0.5957,1,BOX001/NOPOLYEUROBASE/HOLES,N,1000x1200,MTS,576.0,380.0,150.0,1000.0,1360.0,876.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15443 /,Meat & Poultry,1
BOX001/101/NPL/1000G/1000P,UNPRINTED LID - NO POLY (NO HOLES) 585mm x 390mm x 150mm 100,UNPRINTED LID - NO POLY (NO HOLES) 585mm x 390mm x 150mm 1000GSM 1000 Per Pallet,Glued Lid 4PT No Pol,101,0.6107,1,,N,1000x1200,MTS,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15244 /,Meat & Poultry,1
BOX001/101/NPL/D9999/01/1000G,PRINTED LID - STD LID HPB (UK) PIC NP 583x385x156,PRINTED LID - STD LID HEREFORD PRIME BEEF (UK) 583 x 385 x 156 1000GSM 700 Per Pallet,Glued Lid 4PT No Pol,,0.6238,1,HPK222226/SRH,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,,,FG Box,901.0,Mix 70%,700.0,4-15867,Meat & Poultry,1
BOX001/101/NPL/D9999/02/1000G,PRINTED LID - STD LID CALEDONIAN CROWN SB 583x385x156 1000G,PRINTED LID - STD LID CALEDONIAN CROWN SB 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/01/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/03/1000G,PRINTED LID - STD LID PREMIUM BUTCHER 583x385x156 1000G 750P,PRINTED LID - STD LID PREMIUM BUTCHER 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/02/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,400.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/04/1000G,PRINTED LID - STD LID BROWN DUNBIA NO POLY 583x385x156 1000G,PRINTED LID - STD LID DUNBIA 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/04/1000G,N,1000x1200,MTC,583.0,385.0,156.0,1000.0,1410.0,922.0,25.0,10.0,3.0,,FG Box,101.0,Mix 70%,750.0,4-16794 /,Meat & Poultry,1
BOX001/101/NPL/D9999/10/950G,PRINTED LID -EURO LID GREEN PASTURES NO POLY 590 x 390 x 150,PRINTED LID - *obsolete print Dec 24* EURO LID GREEN PASTURES NO POLY 590 x 390 x 150 950GSM 750 Per Pallet NW/WK,Glued Lid 4PT No Pol,,0.5834,1,BOX001/102/NPL/D9999/10/950G,N,1000x1200,MTO,590.0,390.0,150.0,950.0,1390.0,910.0,25.0,10.0,3.0,1320.0,FG Box,901.0,Mix 70%,750.0,SHT200744/A /,Meat & Poultry,1
BOX001/101/NPL/D9999/11/950G,PRINTED LID - EURO LID PURE NATURE NO POLY 590 x 390 x 150,PRINTED LID - EURO LID PURE NATURE 590 x 390 x 150 950GSM 750 Per Pallet,Glued Lid 4PT No Pol,,0.5834,1,BOX001/102/NPL/D9999/11/950G,N,1000x1200,MTC,590.0,390.0,150.0,950.0,1390.0,910.0,25.0,10.0,3.0,2100.0,FG Box,901.0,Mix 70%,750.0,SHT200744/A /,Meat & Poultry,1
BOX001/101/NPL/D9999/12/1000G,PRINTED LID - STD LID ANGUS 1808 NO POLY 583 x 385 x 156,PRINTED LID - STD LID ANGUS 1808 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/12/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/14/1000G,PRINTED LID - STD LID BLACK ANGUS NO POLY 583 x 385 x 156,PRINTED LID - STD LID BLACK ANGUS 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,,0.6238,1,BOX001/102/NPL/D9999/14/1000G,N,1000x1200,MTC,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,201.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/15/1000G,PRINTED LID -STD LID USA BROWN DUNBIA NP 583x385x156,PRINTED LID - STD LID DUNBIA USA 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,922.0,25.0,10.0,3.0,,FG Box,101.0,Mix 70%,750.0,4-16794 /,Meat & Poultry,1
BOX001/101/NPL/D9999/16/950G,PRINTED LID - EURO LID GREEN PASTURES NO POLY 590x390x150,PRINTED LID - EURO LID GREEN PASTURES 590 x 390 x 150 950GSM 750 Per Pallet,Glued Lid 4PT No Pol,,0.5834,1,BOX001/101/NPL/D9999/10/950G,N,1000x1200,MTC,590.0,390.0,150.0,950.0,1390.0,910.0,25.0,10.0,3.0,1320.0,FG Box,901.0,Mix 70%,750.0,SHT200744/A /,Meat & Poultry,1
BOX001/101/NPL/D9999/22/1000G,PRINTED LID - STD LID ORGANIC BIO NO POLY 583 x 385 x 156,PRINTED LID - STD LID ORGANIC BIO 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/22/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/26/1000G,PRINTED LID - STD LID NATURES MEADOW BLUE NP 583x385x156,PRINTED LID - STD LID NATURES MEADOW BLUE 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,HPK222226/NMB 101101586 / 101105575,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/29/1000G,PRINTED LID - STD LID RED HEREFORD (ROI) NO POLY,PRINTED LID - STD LID RED HEREFORD (ROI) 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,,0.6238,1,BOX001/102/NPL/D9999/29/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/30/1000G,PRINTED LID - STD LID RIDING RESERVE RED NO POLY 583x385x156,PRINTED LID - STD LID RIDING RESERVE RED 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/30/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/32/1000G,PRINTED LID - STD LID STOCKMANS NO POLY 583 x 385 x 156,PRINTED LID - STD LID STOCKMANS 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,,0.6238,1,BOX001/102/NPL/D9999/32/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-17272 /,Meat & Poultry,1
BOX001/101/NPL/D9999/35/1000G,PRINTED LID - STD LID TICAN LAMB NO POLY 583 x 385 x 156,PRINTED LID - STD LID TICAN LAMB 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,,0.6238,1,BOX001/102/NPL/D9999/35/1000G,N,1000x1200,LID,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,0
BOX001/101/NPL/D9999/37/1000G,PRINTED LID - STD LID TW LUDGATE 590x390x150 1000G 750P,PRINTED LID - STD LID TW LUDGATE 583 x 387 x 157 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,,0.6288,1,BOX001/102/NPL/D9999/37/1000G,N,1000x1200,MTO,583.0,387.0,157.0,1000.0,1410.0,920.0,25.0,10.0,3.0,1320.0,FG Box,900.0,Mix 70%,750.0,4-17272 /,Meat & Poultry,1
BOX001/101/NPL/D9999/38/1000G,PRINTED LID - STD LID WEST COUNTRY CHOICENO POLY 583x385x156,PRINTED LID - STD LID WEST COUNTRY CHOICE 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,HPK222226/WCC 101101567 / 101105570,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,901.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/D9999/39/1000G,PRINTED LID - STD LID TOM HIXSON NO POLY 583 x 385 x 156,PRINTED LID - STD LID TOM HIXSON 583 x 385 x 156 1000GSM 750 Per Pallet,Glued Lid 4PT No Pol,103,0.6238,1,BOX001/102/NPL/D9999/39/1000G,N,1000x1200,MTO,583.0,385.0,156.0,1000.0,1410.0,920.0,25.0,10.0,3.0,,FG Box,101.0,Mix 70%,750.0,4-15867 /,Meat & Poultry,1
BOX001/101/NPL/F0003/02/1000G,PRINTED LID - F.A.GILL 585mm x 390mm x 150mm 1000GSM 750 Per,PRINTED LID - F.A.GILL 585mm x 390mm x 150mm 1000GSM 750 Per Pallet WT/BT,Sales Boxes,101,0.6107,1,BOX001/NOPOLYPRINTEDLIDFA.GILL,N,1000x1200,LID,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,3.0,,FG Box,201.0,Mix 70%,750.0,4-15244 /,Meat & Poultry,0
BOX001/101/NPL/H0063/01/900G,PRINTED LID - HEWITT CONNOISEUR LARGE LID 590x390x150 900G,PRINTED LID - HEWITT CONNOISEUR LARGE LID 590 x 390 x 150 900GSM 1250 Per Pallet,Glued Lid 4PT No Pol,,0.5527,1,,N,1200 x 1000 (Standard),MTC,590.0,390.0,150.0,900.0,1380.0,915.0,25.0,10.0,5.0,2105.0,FG Box,300.0,Mix 70%,1250.0,TBC,Growth Line,1
BOX001/101/NPL/H0063/02/900G,PRINTED LID - HEWITT EURO LID 585x390x150 900G,PRINTED LID - HEWITT EURO LID 585 x 390 x 150 900GSM 1250 Per Pallet,Glued Lid 4PT No Pol,,0.5495,1,,N,1200 x 1000 (Standard),MTC,585.0,390.0,150.0,900.0,1380.0,885.0,25.0,10.0,5.0,2105.0,FG Box,900.0,Mix 70%,1250.0,TBC,Growth Line,1
BOX001/101/NPL/R0069/01/1000G,PRINTED LID - RGB WEBSTER PTD LID 2021 NON EU 585x390x150,PRINTED LID - RGB WEBSTER PTD LID 2021 NON EU 585mm x 390mm x 150mm 1000GSM 1000 Per Pallet WK/TKL,Glued Lid 4PT No Pol,,0.587,1,BOX001/102/NPL/R0069/01/1000G,N,1000x1200,MTO,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,4.0,1710.0,FG Box,900.0,Mix 70%,1000.0,4-15244,Meat & Poultry,1
BOX001/101/NPL/S0297/01/950G,PRINTED LID - STILLMANS LTD NO POLY 590x390x150 950G,PRINTED LID -  STILLMANS (SOMERSET) LTD NO POLY 585 x 385 x 150 950GSM 1000 Per Pallet NW/WK,Glued Lid 4PT No Pol,,0.5834,1,BOX001/103/NPL/S0297/01/950G,N,1000x1200,MTO,590.0,390.0,150.0,950.0,1390.0,910.0,25.0,10.0,4.0,,FG Box,901.0,Mix 70%,1000.0,4-17257,Meat & Poultry,1
BOX001/101/NPL/W0005/01/1000G,PRINTED LID - WH FROST NO POLY  585mm x 390mm x 150mm 1000GS,PRINTED LID - WH FROST NO POLY  585mm x 390mm x 150mm 1000GSM 1000 Per Pallet WT/BT,Glued Lid 4PT No Pol,101,0.6107,1,BOX001/NOPOLYPRINTEDLIDWHFROST,N,1000x1200,LID,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,4.0,,FG Box,100.0,Mix 70%,1000.0,4-15244 /,Meat & Poultry,0
BOX001/101/NPLH/1000G/1000P,UNPRINTED LID - NO POLY (HOLES) 585mm x 390mm x 150mm 1000GS,UNPRINTED LID - NO POLY (HOLES) 585mm x 390mm x 150mm 1000GSM 1000 Per Pallet,Glued Lid 4PT No Pol,101,0.6107,1,,N,1000x1200,MTS,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15244,Meat & Poultry,1
BOX001/101/NPLH/1000G/750P,UNPRINTED LID - MC NO POLY (HOLES) 585x390x150 1000G 750P,UNPRINTED LID - MC NO POLY (HOLES) 585mm x 390mm x 150mm 1000GSM 750 Per Pallet MC/WTL,Glued Lid 4PT No Pol,101,0.58,1,,N,1000x1200,MTO,585.0,390.0,150.0,1000.0,885.0,1380.0,25.0,10.0,3.0,1710.0,FG Box,0.0,Mix 70%,750.0,4-15244,Meat & Poultry,1
BOX001/101/NPLH/B0070/01/1000G,PRINTED LID - NO POLY (HOLES) 585x390x150 1000G 750P,PRINTED LID - NO POLY (HOLES) 585mm x 390mm x 150mm 1000GSM 750 Per Pallet MC/WTL,Glued Lid 4PT No Pol,101,0.6107,1,,N,1000x1200,MTO,585.0,390.0,150.0,1000.0,,,25.0,10.0,3.0,1.71,FG Box,0.0,Mix 70%,750.0,,Meat & Poultry,1
BOX001/101/YPB/1000G/1000P,UNPRINTED BASE - EURO MEAT BASE 573mm x 380mm x 149mm 1000GS,UNPRINTED BASE - EURO MEAT BASE 573mm x 380mm x 149mm 1000GSM 1000 Per Pallet,Glued Base 4PT Poly,101,0.5936,1,BOX001/573X375X149/1010/BASE,N,1000x1200,MTS,573.0,380.0,150.0,1000.0,1358.0,878.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15844 /,Meat & Poultry,1
BOX001/101/YPB/1000G/1250P,UNPRINTED BASE - EURO MEAT BASE 576mm x 380mm x 149mm 1000GS,UNPRINTED BASE - EURO MEAT BASE 576mm x 380mm x 149mm 1000GSM 1250 Per Pallet TKL/TKL.WPE,Glued Base 4PT Poly,101,0.5957,1,BOX001/573X375X149/1010/BASE,N,1000x1200,MTS,576.0,380.0,150.0,1000.0,1358.0,878.0,25.0,10.0,5.0,,FG Box,0.0,Mix 70%,1250.0,4-15844 /,Meat & Poultry,1
BOX001/101/YPB/1250G/1000P,UNPRINTED BASE - EURO FREEZER BASE 578 X 380 X 150 1250GSM K,UNPRINTED BASE - EURO FREEZER BASE 578 X 380 X 150 1250GSM K/K 1000/pallet,Glued Base 4PT Poly,101,0.7463,1,BOX001/578X380X150/1280/BASE,N,1000x1200,MTS,578.0,380.0,150.0,1250.0,1360.0,876.0,20.0,10.0,5.0,,FG Box,0.0,Mix 70%,1000.0,4-15312 /,Meat & Poultry,1
BOX001/101/YPB/1250G/600P,UNPRINTED BASE - EURO FREEZER BASE 578 X 380 X 150 1250GSM K,UNPRINTED BASE - EURO FREEZER BASE 578 X 380 X 150 1250GSM K/K 600/pallet,Glued Base 4PT Poly,101,0.7463,1,BOX001/578X380X150/1280/BASE,N,1000x1200,BASE,578.0,380.0,150.0,1250.0,1360.0,876.0,20.0,10.0,3.0,,FG Box,0.0,Mix 70%,600.0,4-15312 /,Meat & Poultry,0
BOX001/101/YPL/1000G/1000P,UNPRINTED LID - EURO 585mm x 390mm x 150mm 1000GSM 1000 Per,UNPRINTED LID - EURO 585mm x 390mm x 150mm 1000GSM 1000 Per Pallet WT/TKL.WPE,Glued Lid 4PT Poly,101,0.6107,1,BOX001/590X390X148/1000/LID028 / 101100028,N,1000x1200,MTS,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,4.0,,FG Box,0.0,Mix 70%,1000.0,4-15320 /,Meat & Poultry,1
BOX001/101/YPL/1000G/1120P,UNPRINTED LID - POLY 590mm x 390mm x 148mm 1000GSM 1120 Per,UNPRINTED LID - POLY 590mm x 390mm x 148mm 1000GSM 1120 Per Pallet WT/TKL.WPE,Glued Lid 4PT Poly,101,0.6078,1,,N,1000x1200,LID,590.0,390.0,148.0,1000.0,1380.0,885.0,,,4.0,,FG Box,0.0,Mix 70%,1120.0,4-15320,Meat & Poultry,0
BOX001/101/YPL/1000G/1250P,UNPRINTED LID - EURO MEAT LID 585mm x 390mm x 150mm 1000GSM,UNPRINTED LID - EURO MEAT LID 585mm x 390mm x 150mm 1000GSM 1250 Per Pallet WT/TKL.WPE,Glued Lid 4PT Poly,101,0.6202,1,BOX001/585X390X150/1010/LID,N,1000x1200,MTS,590.0,390.0,150.0,1010.0,1380.0,885.0,25.0,10.0,5.0,,FG Box,0.0,Mix 70%,1250.0,4-15320 /,Meat & Poultry,1
BOX001/101/YPL/1000G/750P,UNPRINTED LID - EURO 590mm x 390mm x 148mm 1000GSM 750 Per P,UNPRINTED LID - EURO 590mm x 390mm x 148mm 1000GSM 750 Per Pallet,Glued Lid 4PT Poly,101,0.6078,1,BOX001/590X390X148/1000/LID028 / 101100028,N,1000x1200,LID,590.0,390.0,148.0,1000.0,1380.0,885.0,25.0,10.0,3.0,,FG Box,0.0,Mix 70%,750.0,4-15320 /,Meat & Poultry,0
BOX001/101/YPL/950G/675P,UNPRINTED LID -EURO LID PLAIN   EURO LID PLAIN 590 x 390 x 1,UNPRINTED LID -EURO LID PLAIN   EURO LID PLAIN 590 x 390 x 150 950GSM 675 Per Pallet NW/WPE,Glued Lid 4PT Poly,103,0.5834,1,HPK300002,N,1000x1200,LID,590.0,390.0,150.0,950.0,1380.0,885.0,,,,,FG Box,0.0,Mix 70%,675.0,4-15320 /,Meat & Poultry,0
BOX001/101/YPL/A0005/01/1000G,PRINTED LID - AB & S BLACK GOLD 585mm x 390mm x 150mm 1000GS,PRINTED LID - AB & S BLACK GOLD 585mm x 390mm x 150mm 1000GSM  1250 Per Pallet WT/TKL.WPE,Glued Lid 4PT Poly,101,0.6107,1,BOX001/EUROPRINTEDLIDAB&S,N,1000x1200,MTO,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,5.0,,FG Box,200.0,Mix 70%,1250.0,4-15320 /,Meat & Poultry,1
BOX001/101/YPL/A0011/01/1000G,PRINTED LID - BLAKEMORE BEEF 4 COLOUR PRINT 585mm x 390mm x,PRINTED LID - BLAKEMORE BEEF 4 COLOUR PRINT 585mm x 390mm x 150mm 1000GSM 1250 Per Pallet WT/TKL.WPE,Sales Boxes,101,0.6107,1,BOX001/EUROPRINTEDLIDBLAKE001,N,1000x1200,MTO,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,5.0,,FG Box,200.0,Mix 70%,1000.0,4-15320 /,Meat & Poultry,0
BOX001/101/YPL/A0011/02/1000G,PRINTED LID - A.F BLAKEMORE 585mm x 390mm x 150mm 1000GSM 12,PRINTED LID - A.F BLAKEMORE 585mm x 390mm x 150mm 1000GSM 1250 Per Pallet WT/TKL.WPE,Sales Boxes,101,0.6107,1,BOX001/EUROPRINTEDLIDBLAKEMORE,N,1000x1200,LID,585.0,390.0,150.0,1000.0,1380.0,885.0,,,5.0,,FG Box,301.0,Mix 70%,1250.0,4-15320 /,Meat & Poultry,0
BOX001/101/YPL/A0166/01/1000G,PRINTED LID -  Arun Meat & Livestock Co Ltd  585x390x150,PRINTED LID -  Arun Meat & Livestock Co Ltd  590mm x 390mm x 150mm 1000GSM 1000 Per Pallet NW/WPE,Glued Lid 4PT Poly,,0.6107,1,,N,1000x1200,MTO,585.0,390.0,150.0,1000.0,,,25.0,10.0,4.0,,,100.0,Mix 70%,1000.0,BRD001/103/YPL/950G/WW /,Meat & Poultry,0
BOX001/101/YPL/A0166/02/1000G,PRINTED LID -  Arun Meat & Livestock Co Ltd  585x390x150,PRINTED LID -  Arun Meat & Livestock Co Ltd  590mm x 390mm x 150mm 1000GSM 1000 Per Pallet NW/WPE,Glued Lid 4PT Poly,,0.6107,1,,N,1000x1200,MTC,585.0,390.0,150.0,1000.0,,,25.0,10.0,4.0,,,100.0,Mix 70%,1000.0,BRD001/103/YPL/950G/WW /,Meat & Poultry,1
BOX001/101/YPL/A9999/01/950G,PRINTED LID -  ABP EURO 590x390x150 950GSM 1250 Per Pallet,PRINTED LID -  ABP EURO LID 590mm x 390mm x 150mm 950GSM 1250 Per Pallet,Glued Lid 4PT Poly,103,0.5834,1,BOX001/103/YPL/A9999/07/950G,N,1000x1200,MTC,590.0,390.0,150.0,950.0,1380.0,890.0,25.0,10.0,5.0,,FG Box,201.0,Mix 70%,1250.0,4-16795 /,Meat & Poultry,1
BOX001/101/YPL/A9999/02/1000G,PRINTED LID - ABP KINGS VALLEY 590 x 390 x 150 1000GSM 1250P,PRINTED LID -  ABP KINGS VALLEY 590 x 390 x 150 1000GSM 1250 Per Pallet NW/WPE,Glued Lid 4PT Poly,103,0.583,1,BOX001/103/YPL/A9999/01/950G,N,1000x1200,MTO,590.0,390.0,150.0,1000.0,1380.0,915.0,25.0,10.0,5.0,1960.0,FG Box,300.0,Mix 70%,1250.0,4-17237,Meat & Poultry,1
BOX001/101/YPL/B0143/02/1000G,PRINTED LID - BRADMILL MEATS  590x390x150 1000GSM 1000P,PRINTED LID - BRADMILL MEATS  590mm x 390mm x 150mm 1000GSM 1000 Per Pallet NW/WPE,Glued Lid 4PT Poly,,0.5834,1,,N,1200 x 1000 (Standard),MTO,590.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,4.0,1560.0,FG Box,901.0,Mix 70%,1000.0,4-15320,Meat & Poultry,1
BOX001/101/YPL/B0182/01/950G,PRINTED LID - BUITELAAR *LIMITED STOCK*  585x385x150 950G,PRINTED LID - *LIMITED STOCK* BUITELAAR EURO LID 585 x 385 x 150 950GSM 675 Per Pallet  W0075 NW/WPE,Glued Lid 4PT Poly,103,0.572,1,HPK222229/BUIT,N,1000x1200,MTO,585.0,385.0,150.0,950.0,1390.0,910.0,25.0,9.0,3.0,,FG Box,101.0,Mix 70%,675.0,SHT222229/A /,Meat & Poultry,1
BOX001/101/YPL/B0182/03/950G,PRINTED LID -  BUITELAAR EURO LID  585 x 385 x 150 950G 750P,PRINTED LID -  BUITELAAR EURO LID  585 x 385 x 150 950GSM 750 Per Pallet  W0075 NW/WPE,Glued Lid 4PT Poly,103,0.5759,1,HPK222229/BUIT,N,1000x1200,MTC,585.0,385.0,150.0,950.0,1390.0,910.0,25.0,10.0,3.0,,FG Box,101.0,Mix 70%,750.0,SHT222229/A /,Meat & Poultry,1
BOX001/101/YPL/B0197/01/1000G,PRINTED LID - BW&DJ GLAVES 585mm x 390mm x 150mm 1000GSM 125,PRINTED LID - BW&DJ GLAVES 585mm x 390mm x 150mm 1000GSM 1250 Per Pallet WT/TKL.WPE,Glued Lid 4PT Poly,101,0.6107,1,BOX001/EUROPRINTEDLIDGLAVES,N,1000x1200,MTO,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,5.0,,FG Box,101.0,Mix 70%,1250.0,4-15320 /,Meat & Poultry,1
BOX001/101/YPL/C0004/01/1000G,PRINTED LID - C&K BROWN POLY PRINTED LID 585x390x150 1000G,PRINTED LID - C&K BROWN POLY PRINTED LID  585mm x 390mm x 150mm 1000GSM TKL/TKL.WPE,Glued Lid 4PT Poly,,0.6107,1,,Y,1200 x 1000 (Standard),MTO,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,4.0,1715.0,RM Printed Sheet,301.0,Mix 70%,1000.0,TBC,Growth Line,1
BOX001/101/YPL/C0010/01/1000G,PRINTED LID - C HUMPHREYS 585mm x 390mm x 150mm 1000GSM 1000,PRINTED LID - C HUMPHREYS 585mm x 390mm x 150mm 1000GSM 1000 Per Pallet WT/TKL.WPE,Glued Lid 4PT Poly,101,0.6107,1,BOX001/EUROPRINTEDLIDC.HUMPHRE,N,1000x1200,LID,585.0,390.0,150.0,1000.0,1380.0,885.0,25.0,10.0,4.0,,FG Box,300.0,Mix 70%,1000.0,4-15320 /,Meat & Poultry,0
