item_code,item_name,description,product_group,manufacturing_site,net_mass_kg,allow_sales_order,legacy_code,double_stack,pallet_size,mrp_type,length_mm,width_mm,height_mm,board_gsm,board_width_mm,board_length_mm,bundle_quantity,bundles_per_layer,layers_per_pallet,pallet_height_mm,product_state,number_of_colours,fsc,pallet_quantity,board_code,market_segment,bom_available
BOX038/103/YPL/W0006/02/800G,PRINTED LID -  W HODGSON  376 x 239 x 60 800GSM 2080 Per Pal,PRINTED LID -  W HODGSON  376 x 239 x 60 800GSM 2080 Per Pallet W/BPEC,Glued Lid 4PT Poly,103,0.1425,1,HPK200171/H1/2,N,1000x1200,LID,376.0,239.0,60.0,800.0,858.0,1137.0,,,,,FG Box,901.0,Mix 70%,2080.0,SHT200087/A /,Meat & Poultry,0
BOX038/103/YPL/W0088/01/800G,PRINTED LID -  WRIGHT BROS LTD  376 x 239 x 90 800GSM 2080 P,PRINTED LID -  WRIGHT BROS LTD  376 x 239 x 90 800GSM 2080 Per Pallet W/BPEC,Glued Lid 4PT Poly,103,0.1864,1,HPK200015/WB,N,1000x1200,LID,376.0,239.0,90.0,800.0,858.0,1137.0,,,,,FG Box,901.0,Mix 70%,2080.0,SHT200015/A /,Meat & Poultry,0
BOX038/103/YPL/W0088/02/800G,PRINTED LID -  WRIGHT BROS LTD  376 x 239 x 60 800GSM 2080 P,PRINTED LID -  WRIGHT BROS LTD  376 x 239 x 60 800GSM 2080 Per Pallet W/BPEC,Glued Lid 4PT Poly,103,0.1425,1,HPK200018/WB,N,1000x1200,LID,376.0,239.0,60.0,800.0,1097.0,1017.0,,,,,FG Box,900.0,Mix 70%,2080.0,SHT200018/A /,Meat & Poultry,0
BOX038/103/YPL/W0088/03/800G,PRINTED LID -  WRIGHT BROS LTD  376 x 239 x 90 800GSM 2080 P,PRINTED LID -  WRIGHT BROS LTD  376 x 239 x 90 800GSM 2080 Per Pallet W/BPEC,Glued Lid 4PT Poly,103,0.1864,1,HPK200628/WBL,N,1000x1200,LID,376.0,239.0,90.0,800.0,1097.0,1017.0,,,,,FG Box,901.0,Mix 70%,2080.0,SHT200018/A /,Meat & Poultry,0
BOX038/103/YPL/W0088/04/800G,PRINTED LID -  WRIGHT BROS LTD  376 x 239 x 60 800GSM 2080 P,PRINTED LID -  WRIGHT BROS LTD  376 x 239 x 60 800GSM 2080 Per Pallet W/BPEC,Glued Lid 4PT Poly,103,0.1425,1,HPK201062/WBL,N,1000x1200,LID,376.0,239.0,60.0,800.0,858.0,1137.0,,,,,FG Box,900.0,Mix 70%,2080.0,SHT200087/A /,Meat & Poultry,0
BOX039/101/NPL/900G/1500P,UNPRINTED BOX -  ONE PIECE MINI BURGER 290mm x 195mm x 105mm,UNPRINTED BOX -  ONE PIECE MINI BURGER 290mm x 195mm x 105mm 900GSM 1500 Per Pallet,Glued Lid 4PT No Pol,101,0.1823,1,BOX039/290X195X105/900/1PIECE,N,1000x1200,MTC,290.0,195.0,105.0,900.0,1000.0,705.0,30.0,10.0,5.0,,FG Box,0.0,Mix 70%,1500.0,BOARD1000X705/900GSM/WK.PE,Meat & Poultry,1
BOX039/101/YPB/700G/3248P,UNPRINTED BASE - FISHCAKE BASE 300x205x90 700G 3248P,UNPRINTED BASE - FISHCAKE BASE 300mm x 205mm x 90mm 700GSM 3248 Per Pallet BK/WK.PE,Glued Base 4PT Poly,103,0.129,1,,N,1000x1200,BASE,300.0,205.0,90.0,700.0,,,,,,,FG Box,0.0,Mix 70%,3248.0,,Meat & Poultry,0
BOX039/101/YPL/L0152/01/650G,PRINTED LID - LARRY'S FISHCAKES 310x213x90 650G 3248P,PRINTED LID - LARRY'S FISHCAKES 310mm x 213mm x 90mm 650 GSM 3248 Per Pallet,Glued Lid 4PT Poly,103,0.1252,1,,N,1000x1200,LID,310.0,213.0,90.0,650.0,1444.0,942.0,,,,,FG Box,901.0,Mix 70%,3248.0,,Meat & Poultry,0
BOX039/102/YPB/1100G/1750P,UNPRINTED BASE - 3KG KIPPER BASE 338 x 204 x 95 1100G (BB),UNPRINTED BASE -   3KG KIPPER BASE 338 x 204 x 95 1100GSM 1750 Per Pallet BROWN BROWN,Glued Lid 4PT Poly,103,0.2288,1,111101016,N,1000x1200,MTO,338.0,204.0,95.0,1100.0,1444.0,942.0,,,,,FG Box,300.0,Mix 70%,1750.0,SHT200280/A /,Meat & Poultry,1
BOX039/103/DPB/850G/4000P,UNPRINTED BASE -   SMALL 4 POINT GLUED BASE 290 x 210 x 95 8,UNPRINTED BASE -   SMALL 4 POINT GLUED BASE 290 x 210 x 95 850GSM 4000 Per Pallet WPEC/WPEC,Glued Base 4PT Poly,103,0.1632,1,HPK201542,N,1000x1200,MTO,290.0,210.0,95.0,850.0,980.0,825.0,34.0,20.0,6.0,,FG Box,0.0,Mix 70%,4000.0, 4-16789 /,Meat & Poultry,0
