zone,service,vendor,source_sheet_row,pallet_1,pallet_2,pallet_3,pallet_4,pallet_5,pallet_6,pallet_7,pallet_8,pallet_9,pallet_10,pallet_11,pallet_12,pallet_13,pallet_14,pallet_15,pallet_16,pallet_17,pallet_18,pallet_19,pallet_20,pallet_21,pallet_22,pallet_23,pallet_24,pallet_25,pallet_26
KA1-26 & 29,Economy,McDowells,431,78,151,222,291,311,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
KA27 - 28,Next Day,Joda,432,,,,,,,,,,,,,,,,,,,,,,,,,,
KA27 - 28,Next Day,McDowells,433,85,170,245,323,332,343,374,436,457,488,540,571,602,623,654,685,716,737,758,779,779,779,779,779,779,779
KA27 - 28,Economy,Joda,434,167,282,393,493,511,592,,,,,,,,,,,,,,,,,,,,
KA27 - 28,Economy,McDowells,435,78,151,222,291,311,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
KY 11 - 12,Next Day,Joda,436,81,160,239,288,337,392,421,481,542,602,662,722,782,843,850,850,850,850,850,850,850,850,850,850,850,850
KY 11 - 12,Next Day,McDowells,437,85,170,245,323,386,445,502,519,564,597,623,637,658,684,705,727,749,779,830,882,882,882,882,882,882,882
KY 11 - 12,Economy,Joda,438,71,134,201,267,305,355,421,481,542,602,662,722,782,843,850,850,850,850,850,850,850,850,850,850,850,850
KY 11 - 12,Economy,McDowells,439,78,151,222,291,348,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
KY 1 - 10 & 13+,Next Day,Joda,440,81,160,239,288,337,392,421,481,542,602,662,722,782,843,850,850,850,850,850,850,850,850,850,850,850,850
KY 1 - 10 & 13+,Next Day,McDowells,441,85,170,245,323,386,445,502,519,564,597,623,637,658,684,705,727,749,779,830,882,882,882,882,882,882,882
KY 1 - 10 & 13+,Economy,Joda,442,71,134,201,267,305,355,421,481,542,602,662,722,782,843,850,850,850,850,850,850,850,850,850,850,850,850
KY 1 - 10 & 13+,Economy,McDowells,443,78,151,222,291,348,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
LD,Next Day,Joda,444,79,155,223,296,310,383,402,460,517,575,631,689,746,750,750,775,775,775,775,775,775,775,775,775,775,775
LD,Next Day,McDowells,445,58,116,174,221,253,284,349,415,426,436,446,457,467,477,488,498,509,519,519,519,519,519,519,519,519,519
LD,Economy,Joda,446,65,125,183,242,270,320,402,460,517,575,631,689,746,750,750,775,775,775,775,775,775,775,775,775,775,775
LD,Economy,McDowells,447,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
ML,Next Day,Joda,448,84,166,246,324,347,403,462,527,592,659,681,743,750,750,750,775,775,775,775,775,775,775,775,775,775,775
ML,Next Day,McDowells,449,85,170,245,323,332,343,374,436,457,488,540,571,602,623,654,685,716,737,758,779,779,779,779,779,779,779
ML,Economy,Joda,450,75,148,216,283,309,365,462,527,592,659,681,743,750,750,750,775,775,775,775,775,775,775,775,775,775,775
ML,Economy,McDowells,451,78,151,222,291,311,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
N,Next Day,Joda,452,82,160,235,307,327,389,427,488,548,610,671,672,672,672,672,795,795,795,795,795,795,795,795,795,795,795
N,Next Day,McDowells,453,83,166,245,323,386,445,502,517,564,597,607,618,633,649,664,675,685,695,706,711,716,716,716,716,716,716
N,Economy,Joda,454,71,137,201,267,291,349,427,488,548,610,671,672,672,672,672,795,795,795,795,795,795,795,795,795,795,795
N,Economy,McDowells,455,78,151,222,291,344,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
NW,Next Day,Joda,456,82,160,235,307,327,378,427,488,548,610,671,695,695,695,695,795,795,795,795,795,795,795,795,795,795,795
NW,Next Day,McDowells,457,83,166,245,323,386,445,502,517,564,597,607,618,633,649,664,675,685,695,706,711,716,716,716,716,716,716
NW,Economy,Joda,458,71,140,201,267,291,349,427,488,548,610,671,695,695,695,695,795,795,795,795,795,795,795,795,795,795,795
NW,Economy,McDowells,459,78,151,222,291,344,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
PA1-19,Next Day,Joda,460,84,173,257,308,347,403,434,495,557,619,681,743,805,867,902,937,937,937,937,937,937,937,937,937,937,937
PA1-19,Next Day,McDowells,461,85,170,245,323,386,445,502,519,564,597,623,637,658,684,705,727,749,779,830,882,882,882,882,882,882,882
PA1-19,Economy,Joda,462,73,138,207,274,314,365,434,495,557,619,681,743,805,867,902,937,937,937,937,937,937,937,937,937,937,937
PA1-19,Economy,McDowells,463,78,151,222,291,348,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
PA 20+,Next Day,Joda,464,On request,,,,,,,,,,,,,,,,,,,,,,,,,
PA 20+,Next Day,McDowells,465,170,340,395,497,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618
PA 20+,Economy,Joda,466,On request,,,,,,,,,,,,,,,,,,,,,,,,,
PA 20+,Economy,McDowells,467,136,272,372,475,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592
SE,Next Day,Joda,468,82,160,235,307,327,378,427,488,548,610,671,695,695,695,695,795,795,795,795,795,795,795,795,795,795,795
SE,Next Day,McDowells,469,83,166,245,323,386,445,502,517,564,597,607,618,633,649,664,675,685,695,706,711,716,716,716,716,716,716
SE,Economy,Joda,470,71,160,201,267,291,349,427,488,548,610,671,695,695,695,695,795,795,795,795,795,795,795,795,795,795,795
SE,Economy,McDowells,471,78,151,222,291,344,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
SW,Next Day,Joda,472,82,160,235,307,327,378,427,488,548,610,671,695,695,695,695,795,795,795,795,795,795,795,795,795,795,795
SW,Next Day,McDowells,473,83,166,245,323,386,445,502,517,564,597,607,618,633,649,664,675,685,695,706,711,716,716,716,716,716,716
SW,Economy,Joda,474,71,160,201,267,291,349,427,488,548,610,671,695,695,695,695,795,795,795,795,795,795,795,795,795,795,795
SW,Economy,McDowells,475,78,151,222,291,344,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
SY(All Others),Next Day,Joda,480,87,171,251,326,348,403,449,512,576,637,637,637,637,637,637,738,738,738,738,738,738,738,738,738,738,738
SY(All Others),Next Day,McDowells,481,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
SY(All Others),Economy,Joda,482,76,149,220,287,301,361,449,512,576,637,637,637,637,637,637,738,738,738,738,738,738,738,738,738,738,738
