zone,service,vendor,source_sheet_row,pallet_1,pallet_2,pallet_3,pallet_4,pallet_5,pallet_6,pallet_7,pallet_8,pallet_9,pallet_10,pallet_11,pallet_12,pallet_13,pallet_14,pallet_15,pallet_16,pallet_17,pallet_18,pallet_19,pallet_20,pallet_21,pallet_22,pallet_23,pallet_24,pallet_25,pallet_26
OL,Economy,McDowells,43,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
S,Next Day,Joda,44,60,116,169,220,236,269,273,273,295,341,352,363,397,400,415,415,415,415,415,415,415,415,415,415,415,415
S,Next Day,McDowells,45,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
S,Economy,Joda,46,52,101,149,197,207,242,273,273,295,341,352,363,397,400,415,415,415,415,415,415,415,415,415,415,415,415
S,Economy,McDowells,47,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
SK,Next Day,Joda,48,60,106,154,205,225,251,250,273,295,341,352,363,397,409,420,439,439,439,439,439,439,439,439,439,439,439
SK,Next Day,McDowells,49,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
SK,Economy,Joda,50,52,96,140,184,205,242,250,273,295,341,352,363,397,409,420,439,439,439,439,439,439,439,439,439,439,439
SK,Economy,McDowells,51,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
WN,Next Day,Joda,52,60,107,154,204,227,258,252,273,295,341,352,363,397,409,420,439,439,439,439,439,439,439,439,439,439,439
WN,Next Day,McDowells,53,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
WN,Economy,Joda,54,52,92,136,177,196,236,252,273,295,341,352,363,397,409,420,439,439,439,439,439,439,439,439,439,439,439
WN,Economy,McDowells,55,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
B,Next Day,Joda,56,57,114,165,171,229,268,300,342,385,428,471,513,521,521,521,589,589,589,589,589,589,589,589,589,589,589
B,Next Day,McDowells,57,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
B,Economy,Joda,58,51,101,149,195,209,251,300,342,385,428,471,513,521,521,521,589,589,589,589,589,589,589,589,589,589,589
B,Economy,McDowells,59,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
CW,Next Day,Joda,60,60,116,169,222,228,270,311,355,400,402,402,402,402,402,402,511,511,511,511,511,511,511,511,511,511,511
CW,Next Day,McDowells,61,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
CW,Economy,Joda,62,52,101,151,197,211,246,311,355,400,402,402,402,402,402,402,511,511,511,511,511,511,511,511,511,511,511
CW,Economy,McDowells,63,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DE,Next Day,Joda,64,60,114,169,221,236,275,318,355,400,444,463,463,463,463,463,536,536,536,536,536,536,536,536,536,536,536
DE,Next Day,McDowells,65,57,114,171,208,230,269,283,319,332,368,379,389,400,410,426,436,441,446,446,446,446,446,446,446,446,446
DE,Economy,Joda,66,52,102,150,198,210,252,318,355,400,444,463,463,463,463,463,536,536,536,536,536,536,536,536,536,536,536
DE,Economy,McDowells,67,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DN 1-14,Next Day,Joda,68,60,115,170,223,230,271,284,318,341,375,386,397,409,420,431,439,439,439,439,439,439,439,439,439,439,439
DN 1-14,Next Day,McDowells,69,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
DN 1-14,Economy,Joda,70,52,103,152,197,209,244,284,318,341,375,386,397,409,420,431,439,439,439,439,439,439,439,439,439,439,439
DN 1-14,Economy,McDowells,71,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DN 15-25,Next Day,Joda,72,60,115,170,223,230,271,318,341,441,397,409,420,431,443,454,454,454,454,454,454,454,454,454,454,454,454
DN 15-25,Next Day,McDowells,73,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
DN 15-25,Economy,Joda,74,52,103,152,197,209,244,318,341,441,397,409,420,431,443,454,454,454,454,454,454,454,454,454,454,454,454
DN 15-25,Economy,McDowells,75,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DN 26-40,Next Day,Joda,76,60,115,170,223,230,271,341,397,470,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
DN 26-40,Next Day,McDowells,77,55,110,165,201,217,239,256,291,311,322,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
DN 26-40,Economy,Joda,78,52,103,152,197,209,244,341,397,470,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
DN 26-40,Economy,McDowells,79,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
HU,Next Day,Joda,80,62,119,174,230,246,296,318,363,405,405,405,405,405,405,405,482,482,482,482,482,482,482,482,482,482,482
HU,Next Day,McDowells,81,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
HU,Economy,Joda,82,54,104,153,197,215,260,318,363,405,405,405,405,405,405,405,482,482,482,482,482,482,482,482,482,482,482
HU,Economy,McDowells,83,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
LE,Next Day,Joda,84,59,111,164,215,227,266,318,355,400,444,488,533,568,568,568,600,600,600,600,600,600,600,600,600,600,600
LE,Next Day,McDowells,85,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
LE,Economy,Joda,86,50,99,147,193,202,239,318,355,400,444,488,533,568,568,568,600,600,600,600,600,600,600,600,600,600,600
LE,Economy,McDowells,87,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
NG,Next Day,Joda,88,60,112,168,223,242,289,318,355,400,444,487,487,487,487,487,525,525,525,525,525,525,525,525,525,525,525
NG,Next Day,McDowells,89,57,114,171,208,230,269,283,319,332,368,379,389,400,410,426,436,441,446,446,446,446,446,446,446,446,446
NG,Economy,Joda,90,55,104,153,201,219,260,318,355,400,444,487,487,487,487,487,525,525,525,525,525,525,525,525,525,525,525
NG,Economy,McDowells,91,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
PR,Next Day,Joda,92,60,105,152,199,222,264,250,278,290,290,290,290,290,290,290,397,397,397,397,397,397,397,397,397,397,397
PR,Next Day,McDowells,93,57,114,171,208,230,269,283,319,332,337,340,343,348,353,356,357,357,357,357,357,357,357,357,357,357,357
PR,Economy,Joda,94,52,92,136,177,196,236,250,278,290,290,290,290,290,290,290,397,397,397,397,397,397,397,397,397,397,397
PR,Economy,McDowells,95,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
ST,Next Day,Joda,96,57,107,159,208,219,258,311,355,400,444,488,521,521,521,521,536,536,536,536,536,536,536,536,536,536,536
ST,Next Day,McDowells,97,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
ST,Economy,Joda,98,49,94,137,182,200,238,311,355,400,444,488,521,521,521,521,536,536,536,536,536,536,536,536,536,536,536
ST,Economy,McDowells,99,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
WA,Next Day,Joda,100,59,107,154,205,228,257,284,318,341,375,386,397,409,420,431,450,450,450,450,450,450,450,450,450,450,450
WA,Next Day,McDowells,101,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
WA,Economy,Joda,102,52,94,138,182,202,240,284,318,341,375,386,397,409,420,431,450,450,450,450,450,450,450,450,450,450,450
WA,Economy,McDowells,103,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
WS,Next Day,Joda,104,57,107,157,207,229,268,287,328,369,410,451,493,534,545,568,589,589,589,589,589,589,589,589,589,589,589
WS,Next Day,McDowells,105,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
WS,Economy,Joda,106,51,99,145,190,204,246,287,328,369,410,451,493,534,545,568,589,589,589,589,589,589,589,589,589,589,589
WS,Economy,McDowells,107,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
WV,Next Day,Joda,108,57,107,157,206,225,268,300,342,385,428,471,513,521,546,584,589,589,589,589,589,589,589,589,589,589,589
WV,Next Day,McDowells,109,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
WV,Economy,Joda,110,51,99,142,189,202,246,300,342,385,428,471,513,521,546,584,589,589,589,589,589,589,589,589,589,589,589
WV,Economy,McDowells,111,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
AL,Next Day,Joda,112,62,117,174,230,252,300,318,355,400,444,488,533,577,621,661,721,721,721,721,721,721,721,721,721,721,721
AL,Next Day,McDowells,113,58,116,174,221,253,284,306,354,381,406,415,426,436,446,457,498,509,519,529,545,566,566,566,566,566,566
AL,Economy,Joda,114,57,108,159,208,227,271,318,355,400,444,488,533,577,621,661,721,721,721,721,721,721,721,721,721,721,721
AL,Economy,McDowells,115,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
CB,Next Day,Joda,116,66,127,189,244,268,317,318,355,400,444,488,533,577,621,626,681,681,681,681,681,681,681,681,681,681,681
CB,Next Day,McDowells,117,58,116,174,221,253,284,349,415,426,436,446,457,467,477,488,498,509,519,519,519,519,519,519,519,519,519
CB,Economy,Joda,118,55,104,153,201,219,260,318,355,400,444,488,533,577,621,626,681,681,681,681,681,681,681,681,681,681,681
CB,Economy,McDowells,119,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
CH,Next Day,Joda,120,60,115,170,223,229,271,307,318,341,375,386,397,409,454,477,511,511,511,511,511,511,511,511,511,511,511
CH,Next Day,McDowells,121,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
CH,Economy,Joda,122,52,103,151,200,209,242,307,318,341,375,386,397,409,454,477,511,511,511,511,511,511,511,511,511,511,511
CH,Economy,McDowells,123,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
CV,Next Day,Joda,124,61,112,169,222,242,289,318,355,400,444,488,533,568,568,568,625,625,625,625,625,625,625,625,625,625,625
CV,Next Day,McDowells,125,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
CV,Economy,Joda,126,55,104,153,201,219,260,318,355,400,444,488,533,568,568,568,625,625,625,625,625,625,625,625,625,625,625
CV,Economy,McDowells,127,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DH,Next Day,Joda,128,66,127,191,249,262,311,318,399,449,477,511,511,511,511,511,536,536,536,536,536,536,536,536,536,536,536
DH,Next Day,McDowells,129,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
DH,Economy,Joda,130,52,103,153,200,211,250,318,399,449,477,511,511,511,511,511,536,536,536,536,536,536,536,536,536,536,536
DH,Economy,McDowells,131,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DL,Next Day,Joda,132,66,129,192,249,264,310,318,399,449,498,511,511,511,511,511,567,567,567,567,567,567,567,567,567,567,567
DL,Next Day,McDowells,133,57,114,171,208,230,269,283,319,332,368,379,389,400,410,426,436,441,446,446,446,446,446,446,446,446,446
DL,Economy,Joda,134,52,102,151,199,211,250,318,399,449,498,511,511,511,511,511,567,567,567,567,567,567,567,567,567,567,567
DL,Economy,McDowells,135,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
DY,Next Day,Joda,136,57,107,159,208,225,268,300,342,385,428,471,513,521,521,521,575,575,575,575,575,575,575,575,575,575,575
DY,Next Day,McDowells,137,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
DY,Economy,Joda,138,51,101,149,195,209,251,300,342,385,428,471,513,521,521,521,575,575,575,575,575,575,575,575,575,575,575
DY,Economy,McDowells,139,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
GL,Next Day,Joda,140,60,112,168,223,242,289,386,464,618,618,618,618,618,670,670,670,670,670,670,670,670,670,670,670,670,670
GL,Next Day,McDowells,141,58,116,174,221,253,284,349,415,426,436,446,457,467,477,488,498,509,519,519,519,519,519,519,519,519,519
GL,Economy,Joda,142,55,104,153,201,219,260,386,464,618,618,618,618,618,670,670,670,670,670,670,670,670,670,670,670,670,670
GL,Economy,McDowells,143,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
HP,Next Day,Joda,144,62,117,174,230,252,300,318,355,400,444,488,533,577,621,667,738,738,738,738,738,738,738,738,738,738,738
HP,Next Day,McDowells,145,58,116,174,221,253,284,306,354,381,406,415,426,436,446,457,498,509,519,529,545,566,566,566,566,566,566
HP,Economy,Joda,146,57,108,159,208,225,271,318,355,400,444,488,533,577,621,667,738,738,738,738,738,738,738,738,738,738,738
HP,Economy,McDowells,147,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
HR,Next Day,Joda,148,62,117,174,230,252,300,318,363,409,454,498,544,589,635,680,738,738,738,738,738,738,738,738,738,738,738
HR,Next Day,McDowells,149,58,116,174,221,253,284,306,354,381,406,415,426,436,446,457,498,509,519,529,545,566,566,566,566,566,566
HR,Economy,Joda,150,57,108,159,208,225,271,318,363,409,454,498,544,589,635,680,738,738,738,738,738,738,738,738,738,738,738
HR,Economy,McDowells,151,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
LL1-34,Next Day,Joda,152,84.6248,169.2496,249.5896,323.5024,345.9976,402.7712,,,,,,,,,,,,,,,,,,,,
LL1-34,Next Day,McDowells,153,58,116,174,221,253,284,349,415,426,436,446,457,467,477,488,498,509,519,519,519,519,519,519,519,519,519
LL1-34,Economy,Joda,154,76.0552,148.8968,219.596,287.0816,303.1496,360.9944,,,,,,,,,,,,,,,,,,,,
LL1-34,Economy,McDowells,155,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
LL 35-78,Next Day,Joda,156,84.6248,169.2496,249.5896,323.5024,345.9976,402.7712,,,,,,,,,,,,,,,,,,,,
LL 35-78,Next Day,McDowells,157,93,183,269,351,422,486,552,618,683,716,779,882,986,986,986,986,986,986,986,986,986,986,986,986,986,986
LL 35-78,Economy,Joda,158,76.0552,148.8968,219.596,287.0816,303.1496,360.9944,,,,,,,,,,,,,,,,,,,,
LL 35-78,Economy,McDowells,159,77,154,231,297,372,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
LN,Next Day,Joda,160,62,117,174,230,252,300,386,415,425,447,515,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
LN,Next Day,McDowells,161,58,116,174,221,253,284,306,354,381,406,415,426,436,446,457,467,477,488,498,503,511,511,511,511,511,511
LN,Economy,Joda,162,57,108,159,208,225,271,386,415,425,447,515,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
LN,Economy,McDowells,163,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
LU,Next Day,Joda,164,62,117,174,230,252,300,318,355,400,444,488,533,577,621,637,681,681,681,681,681,681,681,681,681,681,681
LU,Next Day,McDowells,165,58,116,174,221,253,284,349,415,426,436,446,457,467,477,488,498,509,519,519,519,519,519,519,519,519,519
LU,Economy,Joda,166,57,108,159,208,225,271,318,355,400,444,488,533,577,621,637,681,681,681,681,681,681,681,681,681,681,681
LU,Economy,McDowells,167,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
MK,Next Day,Joda,168,60,112,168,223,242,289,318,355,400,444,488,533,577,579,579,600,600,600,600,600,600,600,600,600,600,600
MK,Next Day,McDowells,169,58,116,174,221,253,284,306,354,381,406,415,426,436,446,457,467,477,488,498,503,511,511,511,511,511,511
MK,Economy,Joda,170,55,104,153,201,219,260,318,355,400,444,488,533,577,579,579,600,600,600,600,600,600,600,600,600,600,600
MK,Economy,McDowells,171,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
NE,Next Day,Joda,172,66,130,190,246,262,312,349,399,449,498,521,521,521,521,521,568,568,568,568,568,568,568,568,568,568,568
NE,Next Day,McDowells,173,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
NE,Economy,Joda,174,52,102,148,193,200,250,349,399,449,498,521,521,521,521,521,568,568,568,568,568,568,568,568,568,568,568
NE,Economy,McDowells,175,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
NN,Next Day,Joda,176,60,112,168,223,242,289,318,355,400,444,488,533,556,556,556,600,600,600,600,600,600,600,600,600,600,600
NN,Next Day,McDowells,177,58,116,174,221,253,284,306,354,381,406,415,426,436,446,457,467,477,488,498,503,511,511,511,511,511,511
NN,Economy,Joda,178,55,104,153,201,219,260,318,355,400,444,488,533,556,556,556,600,600,600,600,600,600,600,600,600,600,600
NN,Economy,McDowells,179,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
OX,Next Day,Joda,180,62,117,174,230,252,297,318,355,400,444,488,533,577,621,637,681,681,681,681,681,681,681,681,681,681,681
OX,Next Day,McDowells,181,58,116,174,221,253,284,306,354,381,406,415,426,436,446,457,498,509,519,529,545,566,566,566,566,566,566
OX,Economy,Joda,182,57,108,159,208,225,271,318,355,400,444,488,533,577,621,637,681,681,681,681,681,681,681,681,681,681,681
OX,Economy,McDowells,183,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
SG,Next Day,Joda,184,62,117,174,230,252,300,311,355,400,444,488,533,577,621,667,715,715,715,715,715,715,715,715,715,715,715
SG,Next Day,McDowells,185,58,116,174,221,253,284,349,415,426,436,446,457,467,477,488,498,509,519,519,519,519,519,519,519,519,519
SG,Economy,Joda,186,57,108,159,208,225,271,311,355,400,444,488,533,577,621,667,715,715,715,715,715,715,715,715,715,715,715
SG,Economy,McDowells,187,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
SN,Next Day,Joda,188,62,117,174,230,252,300,311,355,400,444,488,533,577,621,667,738,738,738,738,738,738,738,738,738,738,738
SN,Next Day,McDowells,189,63,126,184,252,284,322,364,445,477,509,540,566,583,600,616,637,651,670,688,706,779,779,779,779,779,779
SN,Economy,Joda,190,57,108,159,208,225,271,311,355,400,444,488,533,577,621,667,738,738,738,738,738,738,738,738,738,738,738
SN,Economy,McDowells,191,60,118,175,227,263,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
SR,Next Day,Joda,192,66,127,189,247,261,312,349,399,449,498,521,521,521,521,521,536,536,536,536,536,536,536,536,536,536,536
SR,Next Day,McDowells,193,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
SR,Economy,Joda,194,51,100,149,195,208,249,349,399,449,498,521,521,521,521,521,536,536,536,536,536,536,536,536,536,536,536
SR,Economy,McDowells,195,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
SY 1-2,Next Day,Joda,196,85,169,247,322,337,403,449,512,556,562,578,595,611,621,637,664,664,664,664,664,664,664,664,664,664,664
SY 1-2,Next Day,McDowells,197,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
SY 1-2,Economy,Joda,198,76,149,220,287,301,361,449,512,556,562,578,595,611,621,637,664,664,664,664,664,664,664,664,664,664,664
SY 1-2,Economy,McDowells,199,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
TF,Next Day,Joda,200,60,112,168,223,242,289,300,342,385,428,471,513,521,521,521,545,545,545,545,545,545,545,545,545,545,545
TF,Next Day,McDowells,201,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
TF,Economy,Joda,202,56,110,161,167,224,266,300,342,385,428,471,513,521,521,521,545,545,545,545,545,545,545,545,545,545,545
TF,Economy,McDowells,203,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
TS,Next Day,Joda,204,66,127,189,244,262,315,349,399,449,498,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
TS,Next Day,McDowells,205,57,114,171,208,230,269,283,319,332,368,379,389,400,410,426,436,441,446,446,446,446,446,446,446,446,446
TS,Economy,Joda,206,51,102,149,196,209,250,349,399,449,498,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
TS,Economy,McDowells,207,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
WR,Next Day,Joda,208,60,112,168,223,242,289,311,355,400,444,488,533,577,579,616,681,681,681,681,681,681,681,681,681,681,681
WR,Next Day,McDowells,209,58,116,174,221,253,284,306,354,381,406,415,426,436,446,457,467,477,488,498,503,511,511,511,511,511,511
WR,Economy,Joda,210,55,104,153,201,219,260,311,355,400,444,488,533,577,579,616,681,681,681,681,681,681,681,681,681,681,681
WR,Economy,McDowells,211,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
BA,Next Day,Joda,212,62,117,174,230,252,300,318,355,400,444,488,533,577,621,667,750,750,750,750,750,750,750,750,750,750,750
BA,Next Day,McDowells,213,77,148,216,286,337,387,437,492,526,558,602,644,685,727,768,810,851,893,934,955,971,971,971,971,971,971
BA,Economy,Joda,214,57,108,159,208,225,271,318,355,400,444,488,533,577,621,667,750,750,750,750,750,750,750,750,750,750,750
BA,Economy,McDowells,215,61,122,183,244,291,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349
BS,Next Day,Joda,216,62,117,174,230,252,300,318,355,400,444,488,533,577,621,637,773,773,773,773,773,773,773,773,773,773,773
BS,Next Day,McDowells,217,63,126,184,252,284,322,364,445,477,509,540,566,583,600,616,637,651,670,688,706,779,779,779,779,779,779
BS,Economy,Joda,218,57,108,159,208,227,271,318,355,400,444,488,533,577,621,637,773,773,773,773,773,773,773,773,773,773,773
BS,Economy,McDowells,219,60,118,175,227,263,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
CF,Next Day,Joda,220,62,117,174,230,252,300,350,413,464,493,527,542,577,621,675,773,773,773,773,773,773,773,773,773,773,773
CF,Next Day,McDowells,221,63,126,184,252,284,322,364,445,477,509,540,566,583,600,616,637,651,670,688,706,779,779,779,779,779,779
CF,Economy,Joda,222,57,108,159,208,227,271,350,413,464,493,527,542,577,621,675,773,773,773,773,773,773,773,773,773,773,773
CF,Economy,McDowells,223,60,118,175,227,263,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
CM,Next Day,Joda,224,62,117,174,230,252,300,318,355,400,444,488,533,577,621,667,702,702,702,702,702,702,702,702,702,702,702
CM,Next Day,McDowells,225,63,126,184,252,284,322,364,445,477,509,540,566,583,600,616,637,651,670,688,706,779,779,779,779,779,779
CM,Economy,Joda,226,57,108,159,208,225,271,318,355,400,444,488,533,577,621,667,702,702,702,702,702,702,702,702,702,702,702
CM,Economy,McDowells,227,60,118,175,227,263,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
CO,Next Day,Joda,228,66,127,189,244,268,317,349,399,449,498,548,598,648,695,695,738,738,738,738,738,738,738,738,738,738,738
CO,Next Day,McDowells,229,63,126,184,252,284,322,364,445,477,509,540,566,583,600,616,637,651,670,688,706,779,779,779,779,779,779
CO,Economy,Joda,230,55,104,153,201,219,260,349,399,449,498,548,598,648,695,695,738,738,738,738,738,738,738,738,738,738,738
CO,Economy,McDowells,231,60,118,175,227,263,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
EN,Next Day,Joda,232,64,123,180,239,260,305,322,368,414,460,506,552,598,644,690,795,795,795,795,795,795,795,795,795,795,795
EN,Next Day,McDowells,233,58,116,174,221,253,284,349,415,426,436,467,488,509,529,550,571,592,612,623,633,649,649,649,649,649,649
EN,Economy,Joda,234,58,111,164,216,239,285,322,368,414,460,506,552,598,644,690,795,795,795,795,795,795,795,795,795,795,795
EN,Economy,McDowells,235,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
FY,Next Day,Joda,236,60,112,166,217,223,264,311,355,400,402,402,402,402,402,402,454,454,454,454,454,454,454,454,454,454,454
FY,Next Day,McDowells,237,58,116,174,221,253,284,306,354,381,406,415,420,426,431,436,441,446,452,457,467,476,476,476,476,476,476
FY,Economy,Joda,238,52,99,147,193,202,239,311,355,400,402,402,402,402,402,402,454,454,454,454,454,454,454,454,454,454,454
FY,Economy,McDowells,239,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
GU,Next Day,Joda,240,76,147,212,280,300,360,387,443,498,553,609,664,720,750,750,775,775,775,775,775,775,775,775,775,775,775
GU,Next Day,McDowells,241,63,126,184,252,284,322,364,445,477,509,540,566,583,600,616,637,651,670,688,706,779,779,779,779,779,779
GU,Economy,Joda,242,63,119,175,229,252,300,387,443,498,553,609,664,720,750,750,775,775,775,775,775,775,775,775,775,775,775
GU,Economy,McDowells,243,60,118,175,227,263,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
HA,Next Day,Joda,244,69,132,196,253,280,331,349,399,449,498,548,598,648,695,695,795,795,795,795,795,795,795,795,795,795,795
HA,Next Day,McDowells,245,58,116,174,221,253,284,349,415,426,436,467,488,509,529,550,571,592,612,623,633,649,649,649,649,649,649
HA,Economy,Joda,246,62,117,175,231,253,302,349,399,449,498,548,598,648,695,695,795,795,795,795,795,795,795,795,795,795,795
HA,Economy,McDowells,247,52,104,156,202,225,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
IG,Next Day,Joda,248,64,123,180,239,260,305,322,368,414,460,506,552,598,644,690,738,738,738,738,738,738,738,738,738,738,738
IG,Next Day,McDowells,249,63,126,184,252,284,322,364,445,477,509,540,566,583,600,616,637,651,670,688,706,779,779,779,779,779,779
IG,Economy,Joda,250,58,111,164,216,239,285,322,368,414,460,506,552,598,644,690,738,738,738,738,738,738,738,738,738,738,738
